p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.01043706485e-05	0.00055291525717	GO:0015075	m	3	ion transmembrane transporter activity	67547; 330962; 70701; 72027; 108015; 50799; 110877; 14394; 212989; 16512; 16525; 229731; 215335; 433926; 55963; 56857; 57738; 58176; 26365; 53881; 94282	ENSMUSG00000010803; ENSMUSG00000067219; ENSMUSG00000074272; ENSMUSG00000033998; ENSMUSG00000063354; ENSMUSG00000104445; ENSMUSG00000020261; ENSMUSG00000053897; ENSMUSG00000070639; ENSMUSG00000037579; ENSMUSG00000032122; ENSMUSG00000040322; ENSMUSG00000015112; ENSMUSG00000033720; ENSMUSG00000036330; ENSMUSG00000052819; ENSMUSG00000022899; ENSMUSG00000089774; ENSMUSG00000035200; ENSMUSG00000053862; ENSMUSG00000020142	854	854
1.22058078056e-05	0.000903229777615	GO:0008509	m	4	anion transmembrane transporter activity	330962; 50799; 110877; 14394; 212989; 229731; 215335; 433926; 55963; 56857; 26365; 94282	ENSMUSG00000010803; ENSMUSG00000036330; ENSMUSG00000074272; ENSMUSG00000033720; ENSMUSG00000020261; ENSMUSG00000070639; ENSMUSG00000040322; ENSMUSG00000032122; ENSMUSG00000015112; ENSMUSG00000052819; ENSMUSG00000053862; ENSMUSG00000020142	309	309
1.53587571436e-05	0.00055291525717	GO:0015238	m	3	drug transmembrane transporter activity	50799; 110877; 229731; 215335; 55963; 57738; 94282	ENSMUSG00000036330; ENSMUSG00000033720; ENSMUSG00000020261; ENSMUSG00000040322; ENSMUSG00000015112; ENSMUSG00000022899; ENSMUSG00000020142	95	95
3.10859643437e-05	0.000705210896	GO:0140103	m	3	catalytic activity, acting on a glycoprotein	330406; 72077; 272411; 67569	ENSMUSG00000041372; ENSMUSG00000019888; ENSMUSG00000032226; ENSMUSG00000074004	22	22
3.91783831111e-05	0.000705210896	GO:0015318	m	3	inorganic molecular entity transmembrane transporter activity	67547; 330962; 70701; 72027; 108015; 50799; 110877; 14394; 212989; 16512; 16525; 215335; 433926; 55963; 56857; 57738; 26365; 53881; 94282	ENSMUSG00000010803; ENSMUSG00000067219; ENSMUSG00000074272; ENSMUSG00000033998; ENSMUSG00000063354; ENSMUSG00000020261; ENSMUSG00000053897; ENSMUSG00000070639; ENSMUSG00000037579; ENSMUSG00000032122; ENSMUSG00000015112; ENSMUSG00000033720; ENSMUSG00000036330; ENSMUSG00000052819; ENSMUSG00000022899; ENSMUSG00000089774; ENSMUSG00000035200; ENSMUSG00000053862; ENSMUSG00000020142	793	793
0.000208777257826	0.00564829666727	GO:0016743	m	4	carboxyl- or carbamoyltransferase activity	18416; 227231	ENSMUSG00000025991; ENSMUSG00000031173	3	3
0.000254453214287	0.00564829666727	GO:0008391	m	4	arachidonic acid monooxygenase activity	72082; 72303; 433247; 13107	ENSMUSG00000025002; ENSMUSG00000052974; ENSMUSG00000074882; ENSMUSG00000067231	37	37
0.000305313333366	0.00564829666727	GO:0008395	m	4	steroid hydroxylase activity	72082; 72303; 433247; 13070; 13107	ENSMUSG00000025002; ENSMUSG00000052974; ENSMUSG00000074882; ENSMUSG00000032323; ENSMUSG00000067231	70	70
0.00102101524788	0.0137956564633	GO:0015103	m	4	inorganic anion transmembrane transporter activity	110877; 14394; 212989; 433926; 55963; 56857	ENSMUSG00000010803; ENSMUSG00000036330; ENSMUSG00000070639; ENSMUSG00000032122; ENSMUSG00000052819; ENSMUSG00000020142	136	136
0.00116499150484	0.0167758776697	GO:0015605	m	3	organophosphate ester transmembrane transporter activity	192287; 229731; 56857	ENSMUSG00000032449; ENSMUSG00000040322; ENSMUSG00000032122	25	25
0.00137055953524	0.0137956564633	GO:0046943	m	4	carboxylic acid transmembrane transporter activity	330962; 50799; 215335; 55963; 26365; 94282	ENSMUSG00000033720; ENSMUSG00000074272; ENSMUSG00000020261; ENSMUSG00000015112; ENSMUSG00000053862; ENSMUSG00000020142	144	144
0.00141996239627	0.0170395487553	GO:0005342	m	3	organic acid transmembrane transporter activity	330962; 50799; 215335; 55963; 26365; 94282	ENSMUSG00000033720; ENSMUSG00000074272; ENSMUSG00000020261; ENSMUSG00000015112; ENSMUSG00000053862; ENSMUSG00000020142	145	145
0.00152283409133	0.0137956564633	GO:0008194	m	4	UDP-glycosyltransferase activity	330406; 333424; 72077; 272411; 67569; 14422	ENSMUSG00000013418; ENSMUSG00000041372; ENSMUSG00000032226; ENSMUSG00000074004; ENSMUSG00000019888; ENSMUSG00000037953	147	147
0.00165990028413	0.0137956564633	GO:0016758	m	4	transferase activity, transferring hexosyl groups	330406; 333424; 72077; 272411; 67569; 14348; 14422	ENSMUSG00000013418; ENSMUSG00000041372; ENSMUSG00000032226; ENSMUSG00000074004; ENSMUSG00000055373; ENSMUSG00000019888; ENSMUSG00000037953	203	203
0.00168766837249	0.0173588746885	GO:0004497	m	3	monooxygenase activity	72082; 72303; 433247; 13070; 13107; 21990	ENSMUSG00000040046; ENSMUSG00000067231; ENSMUSG00000074882; ENSMUSG00000032323; ENSMUSG00000052974; ENSMUSG00000025002	150	150
0.00180587827368	0.0137956564633	GO:0016702	m	4	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	66071; 170752; 15930	ENSMUSG00000064254; ENSMUSG00000032066; ENSMUSG00000031551	29	29
0.00189542796673	0.0137956564633	GO:0015193	m	4	L-proline transmembrane transporter activity	215335; 55963	ENSMUSG00000020261; ENSMUSG00000020142	8	8
0.00199425116334	0.0179482604701	GO:0016701	m	3	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	66071; 170752; 15930	ENSMUSG00000064254; ENSMUSG00000032066; ENSMUSG00000031551	30	30
0.00217433827342	0.0137956564633	GO:0016712	m	4	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	72082; 72303; 433247; 13107	ENSMUSG00000025002; ENSMUSG00000052974; ENSMUSG00000074882; ENSMUSG00000067231	65	65
0.002237183724	0.0137956564633	GO:0031406	m	4	carboxylic acid binding	69219; 12505; 15930; 79235; 18416; 65079; 227231	ENSMUSG00000025991; ENSMUSG00000043811; ENSMUSG00000005087; ENSMUSG00000028194; ENSMUSG00000031173; ENSMUSG00000028003; ENSMUSG00000031551	214	214
0.00242356127058	0.0137956564633	GO:0042895	m	4	antibiotic transmembrane transporter activity	57738; 94282	ENSMUSG00000033720; ENSMUSG00000022899	9	9
0.00303207798302	0.0242566238641	GO:0043177	m	3	organic acid binding	69219; 12505; 15930; 79235; 18416; 65079; 227231	ENSMUSG00000025991; ENSMUSG00000043811; ENSMUSG00000005087; ENSMUSG00000028194; ENSMUSG00000031173; ENSMUSG00000028003; ENSMUSG00000031551	228	226
0.00364039406906	0.0262108372972	GO:0020037	m	3	heme binding	72082; 72303; 433247; 13070; 13107; 15930	ENSMUSG00000067231; ENSMUSG00000074882; ENSMUSG00000032323; ENSMUSG00000052974; ENSMUSG00000025002; ENSMUSG00000031551	177	175
0.00464570157329	0.0304082284797	GO:0046906	m	3	tetrapyrrole binding	72082; 72303; 433247; 13070; 13107; 15930	ENSMUSG00000067231; ENSMUSG00000074882; ENSMUSG00000032323; ENSMUSG00000052974; ENSMUSG00000025002; ENSMUSG00000031551	186	184
0.00489501582422	0.0258736550709	GO:1901618	m	4	organic hydroxy compound transmembrane transporter activity	330962; 110877; 26365	ENSMUSG00000036330; ENSMUSG00000074272; ENSMUSG00000053862	41	41
0.00611787666716	0.0301815248913	GO:0008324	m	4	cation transmembrane transporter activity	67547; 70701; 72027; 108015; 110877; 16512; 16525; 215335; 55963; 57738; 58176; 53881	ENSMUSG00000067219; ENSMUSG00000033998; ENSMUSG00000036330; ENSMUSG00000104445; ENSMUSG00000020261; ENSMUSG00000053897; ENSMUSG00000037579; ENSMUSG00000063354; ENSMUSG00000022899; ENSMUSG00000089774; ENSMUSG00000035200; ENSMUSG00000020142	619	619
0.00851917377277	0.0475385421151	GO:0016757	m	3	transferase activity, transferring glycosyl groups	330406; 333424; 72077; 272411; 67569; 14348; 14422	ENSMUSG00000013418; ENSMUSG00000041372; ENSMUSG00000032226; ENSMUSG00000074004; ENSMUSG00000055373; ENSMUSG00000019888; ENSMUSG00000037953	274	274
0.00876125260831	0.0405207933134	GO:0015215	m	4	nucleotide transmembrane transporter activity	192287; 229731	ENSMUSG00000032449; ENSMUSG00000040322	17	17
0.00899700320333	0.0475385421151	GO:0017046	m	3	peptide hormone binding	18430; 19116; 22355	ENSMUSG00000049112; ENSMUSG00000011171; ENSMUSG00000005268	51	51
0.00980246847019	0.0475385421151	GO:0015125	m	3	bile acid transmembrane transporter activity	330962; 26365	ENSMUSG00000074272; ENSMUSG00000053862	18	18
0.00990386294064	0.0475385421151	GO:0016705	m	3	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	72082; 72303; 433247; 13070; 13107; 21990	ENSMUSG00000040046; ENSMUSG00000067231; ENSMUSG00000074882; ENSMUSG00000032323; ENSMUSG00000052974; ENSMUSG00000025002	216	216
